,id,adult,title,original_language,overview,title,popularity,release_date,vote_average,vote_count
12,696374,False,Gabriel's Inferno,en,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",Gabriel's Inferno,15.221,2020-05-29,8.5,2263
13,496243,False,Parasite,ko,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",Parasite,100.995,2019-05-30,8.5,14159
14,724089,False,Gabriel's Inferno: Part II,en,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",Gabriel's Inferno: Part II,16.03,2020-07-31,8.5,1424
15,497,False,The Green Mile,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",The Green Mile,77.165,1999-12-10,8.5,14250
16,155,False,The Dark Knight,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",The Dark Knight,86.598,2008-07-14,8.5,28045
17,429,False,"The Good, the Bad and the Ugly",it,"While the Civil War rages on, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","The Good, the Bad and the Ugly",61.94,1966-12-23,8.5,6789
18,680,False,Pulp Fiction,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Pulp Fiction,64.365,1994-09-10,8.5,23606
19,122,False,The Lord of the Rings: The Return of the King,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",The Lord of the Rings: The Return of the King,122.856,2003-12-01,8.5,19963
20,13,False,Forrest Gump,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Forrest Gump,70.46,1994-06-23,8.5,23118
21,761053,False,Gabriel's Inferno: Part III,en,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,Gabriel's Inferno: Part III,61.03,2020-11-19,8.5,980
22,652837,False,"Josee, the Tiger and the Fish",ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.","Josee, the Tiger and the Fish",199.564,2020-12-25,8.5,254
23,11216,False,Cinema Paradiso,it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",Cinema Paradiso,24.53,1988-11-17,8.5,3419
24,769,False,GoodFellas,en,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",GoodFellas,33.376,1990-09-12,8.5,10364
25,346,False,Seven Samurai,ja,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",Seven Samurai,18.841,1954-04-26,8.5,2749
26,637,False,Life Is Beautiful,it,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,Life Is Beautiful,61.019,1997-12-20,8.5,11243
27,311,False,Once Upon a Time in America,en,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Once Upon a Time in America,27.17,1984-05-23,8.4,4275
28,533514,False,Violet Evergarden: The Movie,ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",Violet Evergarden: The Movie,20.697,2020-09-18,8.4,260
29,539,False,Psycho,en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",Psycho,33.496,1960-06-22,8.4,8335
30,12477,False,Grave of the Fireflies,ja,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",Grave of the Fireflies,0.6,1988-04-16,8.4,4242
31,14537,False,Harakiri,ja,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",Harakiri,9.872,1962-09-15,8.4,664
32,40096,False,A Dog's Will,pt,"The lively Jack the Cricket and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",A Dog's Will,9.317,2000-09-15,8.4,909
33,550,False,Fight Club,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Fight Club,69.749,1999-10-15,8.4,24590
34,510,False,One Flew Over the Cuckoo's Nest,en,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",One Flew Over the Cuckoo's Nest,23.925,1975-05-18,8.4,8780
35,283566,False,Evangelion: 3.0+1.0 Thrice Upon a Time,ja,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each of them live a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",Evangelion: 3.0+1.0 Thrice Upon a Time,134.578,2021-03-08,8.4,536
36,324857,False,Spider-Man: Into the Spider-Verse,en,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",Spider-Man: Into the Spider-Verse,121.503,2018-12-06,8.4,11610
37,92321,False,Hotarubi no Mori e,ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",Hotarubi no Mori e,0.6,2011-09-17,8.4,820
38,598,False,City of God,pt,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",City of God,44.456,2002-02-05,8.4,5922
39,378064,False,A Silent Voice: The Movie,ja,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",A Silent Voice: The Movie,127.575,2016-09-17,8.4,3061
40,18491,False,Neon Genesis Evangelion: The End of Evangelion,ja,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",Neon Genesis Evangelion: The End of Evangelion,41.577,1997-07-19,8.4,1113
41,4935,False,Howl's Moving Castle,ja,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Howl's Moving Castle,74.532,2004-09-09,8.4,7515
42,255709,False,Hope,ko,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",Hope,25.39,2013-10-02,8.4,408
43,704264,False,Primal: Tales of Savagery,en,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",Primal: Tales of Savagery,59.465,2019-11-21,8.4,232
44,1891,False,The Empire Strikes Back,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",The Empire Strikes Back,28.78,1980-05-20,8.4,14446
45,20334,False,The Shop Around the Corner,en,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",The Shop Around the Corner,9.513,1940-01-12,8.4,531
46,599,False,Sunset Boulevard,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,Sunset Boulevard,14.683,1950-08-10,8.4,2005
47,120,False,The Lord of the Rings: The Fellowship of the Ring,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",The Lord of the Rings: The Fellowship of the Ring,167.88,2001-12-18,8.4,21305
48,3782,False,Ikiru,ja,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",Ikiru,10.996,1952-10-09,8.4,819
49,423,False,The Pianist,en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",The Pianist,59.6,2002-09-17,8.4,7434
50,441130,False,Wolfwalkers,en,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",Wolfwalkers,16.576,2020-10-26,8.4,816
51,157336,False,Interstellar,en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Interstellar,175.999,2014-11-05,8.4,29095
52,244786,False,Whiplash,en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Whiplash,63.229,2014-10-10,8.4,12439
53,121,False,The Lord of the Rings: The Two Towers,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",The Lord of the Rings: The Two Towers,146.969,2002-12-18,8.4,18458
54,73,False,American History X,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",American History X,43.115,1998-07-01,8.4,9753
55,635302,False,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,1044.519,2020-10-16,8.4,2612
56,567,False,Rear Window,en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Rear Window,17.051,1954-08-01,8.4,5270
57,27205,False,Inception,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Inception,138.28,2010-07-15,8.4,32055
58,807,False,Se7en,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Se7en,46.246,1995-09-22,8.4,17454
59,12493,False,High and Low,ja,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,High and Low,9.62,1963-03-01,8.4,605
60,632632,False,Given,ja,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.",Given,74.527,2020-08-22,8.4,325
61,914,False,The Great Dictator,en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,The Great Dictator,19.735,1940-10-15,8.4,2674
62,128,False,Princess Mononoke,ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",Princess Mononoke,40.768,1997-07-12,8.4,6451
63,901,False,City Lights,en,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",City Lights,9.477,1931-02-01,8.3,1675
64,644479,False,Dedicated to my ex,es,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",Dedicated to my ex,15.221,2019-11-01,8.3,473
65,361743,False,Top Gun: Maverick,en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",Top Gun: Maverick,5133.389,2022-05-24,8.3,1892
66,274,False,The Silence of the Lambs,en,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",The Silence of the Lambs,13.802,1991-02-01,8.3,13550
67,630566,False,Clouds,en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",Clouds,25.86,2020-10-09,8.3,859
68,207,False,Dead Poets Society,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",Dead Poets Society,33.874,1989-06-02,8.3,9303
69,101,False,Léon: The Professional,en,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",Léon: The Professional,66.907,1994-09-14,8.3,12345
70,3082,False,Modern Times,en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Modern Times,13.102,1936-02-05,8.3,3013
71,25237,False,Come and See,ru,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",Come and See,14.447,1985-07-09,8.3,972
72,527641,False,Five Feet Apart,en,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",Five Feet Apart,105.035,2019-03-14,8.3,4860
73,556574,False,Hamilton,en,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",Hamilton,14.169,2020-07-03,8.3,989
74,335,False,Once Upon a Time in the West,it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",Once Upon a Time in the West,22.326,1968-12-21,8.3,3468
75,618344,False,Justice League Dark: Apokolips War,en,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",Justice League Dark: Apokolips War,52.648,2020-05-05,8.3,1198
76,105,False,Back to the Future,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",Back to the Future,61.135,1985-07-03,8.3,16843
77,975,False,Paths of Glory,en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,Paths of Glory,11.525,1957-10-25,8.3,2245
78,15804,False,A Brighter Summer Day,zh,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",A Brighter Summer Day,9.442,1991-07-27,8.3,201
79,447362,False,Life in a Year,en,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",Life in a Year,97.776,2020-11-27,8.3,1125
80,575813,False,Better Days,zh,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",Better Days,23.796,2019-10-25,8.3,254
81,16672,False,Woman in the Dunes,ja,An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,Woman in the Dunes,6.283,1964-02-15,8.3,297
82,29259,False,Le Trou,fr,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",Le Trou,7.697,1960-03-18,8.3,337
83,10494,False,Perfect Blue,ja,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,Perfect Blue,30.785,1997-07-25,8.3,1757
84,42269,False,We All Loved Each Other So Much,it,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",We All Loved Each Other So Much,5.054,1974-12-21,8.3,428
85,592350,False,My Hero Academia: Heroes Rising,ja,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",My Hero Academia: Heroes Rising,224.356,2019-12-20,8.3,951
86,537061,False,Steven Universe: The Movie,en,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",Steven Universe: The Movie,57.016,2019-09-02,8.3,681
87,572154,False,Rascal Does Not Dream of a Dreaming Girl,ja,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",Rascal Does Not Dream of a Dreaming Girl,79.09,2019-06-15,8.3,392
88,28,False,Apocalypse Now,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Apocalypse Now,30.038,1979-08-15,8.3,6658
89,10376,False,The Legend of 1900,it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",The Legend of 1900,20.218,1998-10-28,8.3,1877
90,299534,False,Avengers: Endgame,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Avengers: Endgame,290.67,2019-04-24,8.3,21576
91,265177,False,Mommy,fr,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",Mommy,20.997,2014-09-19,8.3,2333
92,18148,False,Tokyo Story,ja,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",Tokyo Story,10.853,1953-11-03,8.3,781
93,637920,False,Miracle in Cell No. 7,tr,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",Miracle in Cell No. 7,56.99,2019-10-10,8.3,3979
94,545611,False,Everything Everywhere All at Once,en,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",Everything Everywhere All at Once,385.827,2022-03-24,8.3,1304
95,290098,False,The Handmaiden,ko,A Japanese woman hires a handmaiden who is secretly working with a con man to cheat her out of her wealth.,The Handmaiden,106.452,2016-06-01,8.3,2770
96,670,False,Oldboy,ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",Oldboy,30.275,2003-11-21,8.3,6851
97,522924,False,The Art of Racing in the Rain,en,"A family dog - with a near-human soul and a philosopher's mind - evaluates his life through the lessons learned by his human owner, a race-car driver.",The Art of Racing in the Rain,22.174,2019-08-08,8.3,1090
98,299536,False,Avengers: Infinity War,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",Avengers: Infinity War,455.841,2018-04-25,8.3,25163
99,508965,False,Klaus,en,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",Klaus,23.287,2019-11-08,8.3,3011
100,77338,False,The Intouchables,fr,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,The Intouchables,103.393,2011-11-02,8.3,14862
101,791373,False,Zack Snyder's Justice League,en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder's Justice League,380.953,2021-03-18,8.3,8032
